website,kml_name,email,address2,Address,city,prov,pcode,Name,Descriptn,id,category,company,phone,fax,social_networks,summary,catname,X,Y
http://www.ruthkozak.com,,,,715 Columbia Street,New Westminster,BC,V3M 1B2,W. Ruth Kozak (WAVES WRITERS),"Several of our group participate in other literary events in New Westminster including Poetic Justice at the Heritage Grill, storytelling groups, standup comedy and literary reading/ music events at Renaissance Books.",49,2,,,,-1,"WAVES Writers is a $5 drop-in group ""Write From the Heart"" mostly memoir writng but also other prose and some poetry meeting every Monday 10 - noon at WAVES coffee shop.",Events,-122.910389618731,49.2021124910515
,New Westminster Festival of Volunteers,,,610 Sixth Street,New Westminster,BC,V3L 5V1,New Westminster Festival of Volunteers,"LAST SATURDAY IN JANUARY! Over 30 New Westminster community organizations come together to showcase their volunteer opportunities. From tutoring children, to helping seniors live independently, to caring for homeless animals, to protecting our natural environment, there are many ways to get involved and make New Westminster a better place. The New Westminster Festival of Volunteers has been a part of New Westminster's event-scape since 2001. We boast a full day of stage entertainment from local performers.  Festival-goers have the chance to win a $500 shopping spree at the Royal City Centre by visiting at least 10 different organizations and getting their ""Passport to Volunteering"" stamped.  The Festival of Volunteers celebrates the work we do together to create a strong and vibrant New Westminster, and offers everyone ways to get involved.",50,2,,604-529-5139,,-1,"LAST SATURDAY IN JANUARY!  Over 30 New Westminster community organizations come together to showcase their volunteer opportunities. From tutoring children, to helping seniors live independently, to caring for homeless animals, to protecting our natural environment, there are many ways to get involved and make New Westminster a better place.",Events,-122.922588372437,49.2125160269209
,Lester Event Management,,,,,,,Lester Event Management,"Services incude venue selection, stage management and other required services.",104,2,,604-526-7672,,-1,"Organization and management of events including theatre, dance and cultural activities.",Events,-122.919432096378,49.2059068279262
http://rivermarket.ca/,,events@rivermarket.ca,,810 Quayside Drive,New Westminster,BC,V3M 6B9,River Market,"Craft and Art: Our monthly artisan fair brings together local makers showcasing and selling hand-made crafts and artwork. Craft and Art: Our community-oriented flea market, Curious Flea, is held four times a year and brings together a myriad of vendors selling fabulous wares from antiques to Mid-Century modern furniture and decor and everything in between. Culinary Art: Every Tuesday morning Pamola Bakery teaches children ages 5 an under how to roll cookies, decorate cupcakes, and make other amazing treats. Culinary Art: Chefs of River Market restaurants regularly hold cooking classes and demonstrations. Culinary Art: BBQ Battle is an annual cooking competition among River Market restaurants.",119,2,,604-520-3881,,-1,"Feast and fun come together everyday at River Market where the hungry and curious gather to eat, shop, and play. It showcases 25 of BC's best independent restaurants, shops, and schools all under one roof. River Market hosts regular cultural events that bring together people of different age and interests.",Events,-122.911914711909,49.2001292220778
http://worldpoetry.ca,,ariadnes@uniserve.com,,716 Sixth Street,New Westminster,BC,V3M 2B3,World Poetry New Westminster Night Out,"The World Poetry Reading Series Society and World Poetry Canada & International was originally  created by Ariadne Sawyer and Alejandro Mujica-Olea and has been in existence for over 13 years. The goal is to provide a venue where multi-cultural, multi-national poets, writers, and those in other artistic disciplines  of all ages and levels could perform in English and in their language of origin in an atmosphere of respect, honour and empowerment. World Poetry New Westminster Night Out: The fourth Wednesday at the New Westminster Public Library, our honoured partners, from 6:30-8:30pm. Four featured poets, rotating hosts, open mike, music, special events such as the World Poetry Peace Poetathon, The Timeline Project, Life Celebrations, the Peace Poetathon Tree, International Women's Day, Black History Month and others have been during our four years at the library. The World Poetry Cafe Radio Show features guests and also the site www.worldpoetry.ca presents them on site. Ongoing partnerships with VAHMS and a number of others create exciting possibilities.",125,2,,604-526-4729,,-1,"World Poetry New Westminster Night Out: The fourth Wednesday at the New Westminster Public Library, our honoured partners, from 6:30-8:30pm. Featured poets, hosts, open mike, music, special events such as the World Poetry Peace Poetathon, The Timeline Project, Life Celebrations, International Women's Day and Black History Month.",Events,-122.92270658946,49.2147868906421
http://www.hyack.bc.ca,,execdirector@hyack.bc.ca,,204 Sixth Street,New Westminster,BC,V3L 3A1,Hyack Festival Associaton,"Throughout the year, Hyack events and festivals offer opportunities to engage individuals of all ages living in our community and provide a fun-filled atmosphere that also recognizes our time-honoured traditions and exceptional community spirit.  In cooperation with the City of New Westminster, and supported by our stakeholders and community partners, our most well-known and popular initiative is our Hyack Festival week that has been celebrated for 42 years and includes our popular International Parade.  The Hyack Festival Association also organizes the New Westminster Ambassador program.  As a member of the Pacific Northwest Festival Hosting Association, the Hyack float travels to festivals and participates in community parades to promote the City of New Westminster to the hundreds of thousands of people who line the parade routes and the viewers watching on major Canadian and US television stations.",135,2,,604-522-6894,604-522-6094,-1,"Hyack Festival Association organizes a wide range of events to help preserve the city's history and traditions and to help foster a positive image and promote the City of New Westminster, both locally and internationally.",Events,-122.913254222033,49.2072538964831
http://www.masseytheatre.com,,info@masseytheatre.com,,735 Eighth Avenue,New Westminster,BC,V3M 2R2,Massey Theatre,"Massey Theatre opened in 1949 as British Columbia's largest theatre. Since then its lights have shone on Broadway touring companies and international stars of dance and music. Today, Massey Theatre proudly hosts professional orchestras like the Vancouver Symphony, stars like singing sensation Jewel, and stunning productions like Hello Dolly! by the Renowned Royal City Musical Theatre. The Massey Theatre boasts production workshops, a full-size stage, an audience chamber of 1260 seats and a visual arts gallery. It is located in the geographic centre of the Metro Vancouver area and adjacent to BC's largest high school, the 2000 student campus of New Westminster Secondary School.  Community groups, Competitions, Festivals, student performances and performers of culturally diverse communities are among the over 200 events presented at Massey each season.  Governed as a registered non-profit Society by an independent board of directors, Massey Theatre is neither a civic nor a school facility but a free-standing organization which works to support the performing arts throughout the Metro Vancouver Region.",238,2,,604-517-5900,,-1,"Massey Theatre opened in 1949 as BC's largest theatre. Since then its lights have shone on Broadway touring companies and international stars of dance and music. Today, Massey Theatre proudly hosts professional orchestras like the Vancouver Symphony and stunning productions like Hello Dolly! by the Renowned Royal City Musical Theatre.",Events,-122.927802661179,49.2156372711026
,Melodies in Mind Productions,,,,,,,Melodies in Mind Productions,"We're a professional, honest, and reliable company.",260,2,,778-233-2430,,-1,"Services for Musicians, also available for event holders booking musical talent. The owner knows hundreds of great local talents.",Events,-122.913736541235,49.2048592603348
,A Very Victorian Christmas,,,302 Royal Avenue,New Westminster,BC,V3L 1H7,A Very Victorian Christmas,"A Very Victorian Christmas features at historic Irving House from December through January. Visitors can enjoy seasonal music, traditional decorations, Victorian family teas, and hands-on heritage programs for children.",288,2,,604-527-4640,,-1,"A Very Victorian Christmas features at historic Irving House from December through January. Visitors can enjoy seasonal music, traditional decorations, Victorian family teas, and hands-on heritage programs for children.",Events,-122.906066498369,49.2077153419352
http://poeticjustice.ca/,,secretary@rclas.com,,447 Columbia Street,New Westminster,BC,V3L 1A9,Poetic Justice,"Poetic Justice is presented by The Royal City Literary Arts Society. Poetic Justice is a weekly gathering of poets to promote poetry, friendship and networking within the poetic literary community. Three featured poet readings each Sunday with an open mic session. We welcome everyone to join in the entertainment and camaraderie. See our website poeticjustice.ca for full schedule. We are closed holiday weekends and July/August.",300,2,,,,-1,"Poetic Justice is a weekly gathering of poets to promote poetry, friendship and networking within the poetic literary community. Featured poets and open mic welcome everyone to join in the entertainment and camaraderie.",Events,-122.906645035055,49.2042713008876
